"category","prodId","prodName","prodUrl","brand","color","price","imageName","imageS3Url","imageUrl","description","details","pairWithProducts","similarProducts"
"women|accessories|bags-purses|across-body-bags","9609398","Glamorous Tan Saddle Bag With Tassle Detail","http://us.asos.com/glamorous/glamorous-tan-saddle-bag-with-tassle-detail/prd/9609398?clr=tan&SearchQuery=&cid=8730&gridcolumn=1&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=129","Glamorous","TAN","40.00","asos_9609398_tan.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_9609398_tan.jpg","http://images.asos-media.com/products/glamorous-tan-saddle-bag-with-tassle-detail/9609398-1-tan?$XXL$&wid=513&fit=constrain","For those must-carry essentials|Fully lined|Adjustable strap|Front flap with tassel detail|Press-stud closure|Interior slip and zip pockets|",,"",""
"women|accessories|bags-purses|across-body-bags","9183291","New Look Beaded Chain Shoulder Bag","http://us.asos.com/new-look/new-look-beaded-chain-shoulder-bag/prd/9183291?clr=gold&SearchQuery=&cid=8730&gridcolumn=3&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=129","New Look","GOLD","32.00","asos_9183291_gold.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_9183291_gold.jpg","http://images.asos-media.com/products/new-look-beaded-chain-shoulder-bag/9183291-1-gold?$XXL$&wid=513&fit=constrain","Bag it up|Fully lined|Chain strap|Front-flap closure|",,"9311610|7976681|8723100",""
"women|accessories|bags-purses|across-body-bags","8826336","New Look Disco Sequin Chain Bucket Bag","http://us.asos.com/new-look/new-look-disco-sequin-chain-bucket-bag/prd/8826336?clr=black&SearchQuery=&cid=8730&gridcolumn=4&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=129","New Look","BLACK","29.00","asos_8826336_black.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_8826336_black.jpg","http://images.asos-media.com/products/new-look-disco-sequin-chain-bucket-bag/8826336-1-black?$XXL$&wid=513&fit=constrain","Fully lined|Chain shoulder strap|Secure magnetic fastening|",,"7947750|6659756|7287911|7899562","8931720|9131332|10324825|8722493"
"women|accessories|bags-purses|across-body-bags","10450036","New Look Animal Print Cross Body Bag","http://us.asos.com/new-look/new-look-animal-print-cross-body-bag/prd/10450036?clr=blackpattern&SearchQuery=&cid=8730&gridcolumn=2&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=129","New Look","BLACK-PATTERN","16.00","asos_10450036_black-pattern.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_10450036_black-pattern.jpg","http://images.asos-media.com/products/new-look-animal-print-cross-body-bag/10450036-1-blackpattern?$XXL$&wid=513&fit=constrain","Bag it up|Flap top|Interior slip pockets|Cross-body strap|Animal print|The bolder, the better|",,"8847996|10134550","10163562|10014321|9525052|9808374"
"women|accessories|bags-purses|across-body-bags","10509004","New Look Cross Body Bag","http://us.asos.com/new-look/new-look-cross-body-bag/prd/10509004?clr=leopard&SearchQuery=&cid=8730&gridcolumn=1&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=129","New Look","LEOPARD","16.00","asos_10509004_leopard.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_10509004_leopard.jpg","http://images.asos-media.com/products/new-look-cross-body-bag/10509004-1-leopard?$XXL$&wid=513&fit=constrain","Leopard-effect design|Yeah, you wild thing|Front-flap closure|Cross-body strap|Inner zip pocket|",,"",""
"women|accessories|bags-purses|across-body-bags","9998843","Missguided gold clasp chain cross body bag in red","http://us.asos.com/missguided/missguided-gold-clasp-chain-cross-body-bag-in-red/prd/9998843?clr=red&SearchQuery=&cid=8730&gridcolumn=3&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=129","Missguided","RED","45.00","asos_9998843_red.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_9998843_red.jpg","http://images.asos-media.com/products/missguided-gold-clasp-chain-cross-body-bag-in-red/9998843-1-red?$XXL$&wid=513&fit=constrain","Completes your look and carries your stuff|Front-flap closure|Gold-tone metal hardware|Single chain strap|Interior zip pocket|",,"9791780|9332751|6173909","10163562|9385053|9915772|10669835"
"women|accessories|bags-purses|across-body-bags","9385053","Faith Round Croc Effect X Body Bag","http://us.asos.com/faith/faith-round-croc-effect-x-body-bag/prd/9385053?clr=black&SearchQuery=&cid=8730&gridcolumn=2&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=129","Faith","BLACK","56.00","asos_9385053_black.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_9385053_black.jpg","http://images.asos-media.com/products/faith-round-croc-effect-x-body-bag/9385053-1-black?$XXL$&wid=513&fit=constrain","For those must-carry essentials|Faux-croc texture finish|Fully lined|Shoulder strap|Zip fastening|Interior slip pocket|",,"9774054","10163562|9915772|9740181|10014321"
"women|accessories|bags-purses|across-body-bags","10146894","ted baker double zip cross body bag","http://us.asos.com/ted-baker/ted-baker-double-zip-cross-body-bag/prd/10146894?clr=gray&SearchQuery=&cid=8730&gridcolumn=2&gridrow=3&gridsize=4&pge=1&pgesize=72&totalstyles=129","Ted Baker","GRAY","188.00","asos_10146894_gray.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_10146894_gray.jpg","http://images.asos-media.com/products/ted-baker-double-zip-cross-body-bag/10146894-1-grey?$XXL$&wid=513&fit=constrain","For those must-carry essentials|Body strap|Double zip-top closure|Interior pocket|Ted Baker logo|It's the little things that count|",,"9935234","10163562|10287280|10014321|10059256"
"women|accessories|bags-purses|across-body-bags","10163562","River Island Box Crossbody Bag","http://us.asos.com/river-island/river-island-box-crossbody-bag/prd/10163562?clr=yellowbright&SearchQuery=&cid=8730&gridcolumn=4&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=129","River Island","YELLOW-BRIGHT","40.00","asos_10163562_yellow-bright.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_10163562_yellow-bright.jpg","http://images.asos-media.com/products/river-island-box-crossbody-bag/10163562-1-yellowbright?$XXL$&wid=513&fit=constrain","You had me at yellow|Boxy style|Single body strap|Zip closure|Tassel detail|",,"10399584","10014316|10014321|9807599|9915590"
"women|accessories|bags-purses|across-body-bags","9263605","Ted Baker Cross Body Bag in Unlined Leather","http://us.asos.com/ted-baker/ted-baker-cross-body-bag-in-unlined-leather/prd/9263605?clr=rosegold&SearchQuery=&cid=8730&gridcolumn=1&gridrow=3&gridsize=4&pge=1&pgesize=72&totalstyles=129","Ted Baker","ROSEGOLD","204.00","asos_9263605_rosegold.jpg","asos/women/accessories/bags-purses/across-body-bags/asos_9263605_rosegold.jpg","http://images.asos-media.com/products/ted-baker-cross-body-bag-in-unlined-leather/9263605-1-rosegold?$XXL$&wid=513&fit=constrain","Metallic finish|It's time to shine|Branded lining|Chain body strap|Flap-top closure|Interior zip pocket|",,"9235243","9263624|9262961|9263608|10146927"
