"category","prodId","prodName","prodUrl","brand","color","price","imageName","imageS3Url","imageUrl","description","details","pairWithProducts","similarProducts"
"women|shoes|boots|flat-boots","9090904","ASOS ATTITUDE Chunky Lace Up Boots","http://us.asos.com/asos/asos-attitude-chunky-lace-up-boots/prd/9090904?clr=black&SearchQuery=&cid=6455&gridcolumn=2&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS Collection","BLACK","48.00","asos_9090904_black.jpg","asos/women/shoes/boots/flat-boots/asos_9090904_black.jpg","http://images.asos-media.com/products/asos-attitude-chunky-lace-up-boots/9090904-1-black?$XXL$&wid=513&fit=constrain","Lace-up fastening|Back tab|Round toe|Chunky sole|Moulded tread|",,"6351084|7516920|9046591",""
"women|shoes|boots|flat-boots","7849093","ASOS ABSOLUTE Leather Chelsea Ankle Boots","http://us.asos.com/asos/asos-absolute-leather-chelsea-ankle-boots/prd/7849093?clr=blackleather&SearchQuery=&cid=6455&gridcolumn=3&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS Collection","BLACK-LEATHER","60.00","asos_7849093_black-leather.jpg","asos/women/shoes/boots/flat-boots/asos_7849093_black-leather.jpg","http://images.asos-media.com/products/asos-absolute-leather-chelsea-ankle-boots/7849093-1-blackleather?$XXL$&wid=513&fit=constrain","Leather upper|Elasticated inserts|Back tab|Almond toe|Mid heel|Treat with a leather protector|100% Real Leather Upper|Heel height: 3.5cm/1""|",,"7516918|7753458|8339723","7854769|7874792|8061265|7992928"
"women|shoes|boots|flat-boots","10167756","ASOS DESIGN Attitude Chunky Lace Up Boots in iridescent","http://us.asos.com/asos/asos-design-attitude-chunky-lace-up-boots-in-iridescent/prd/10167756?clr=silveriridescent&SearchQuery=&cid=6455&gridcolumn=4&gridrow=1&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","SILVER-IRIDESCENT","51.00","asos_10167756_silver-iridescent.jpg","asos/women/shoes/boots/flat-boots/asos_10167756_silver-iridescent.jpg","http://images.asos-media.com/products/asos-design-attitude-chunky-lace-up-boots-in-iridescent/10167756-1-silveriridescent?$XXL$&wid=513&fit=constrain","Iridescent finish|It's an eye-catching kinda day|Lace-up fastening|Pull tab|Makes getting them on a little easier|Round toe|Platform sole|",,"9347708|7899797|8608282","9644720|10306628|9735504|7974629"
"women|shoes|boots|flat-boots","8061265","Faith Binkie Leather Chelsea Boots","http://us.asos.com/faith/faith-binkie-leather-chelsea-boots/prd/8061265?clr=black&SearchQuery=&cid=6455&gridcolumn=1&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=99","Faith","BLACK","72.00","asos_8061265_black.jpg","asos/women/shoes/boots/flat-boots/asos_8061265_black.jpg","http://images.asos-media.com/products/faith-binkie-leather-chelsea-boots/8061265-1-black?$XXL$&wid=513&fit=constrain","Leather upper|Elasticated inserts|Back tab|Almond toe|Low heel|Textured tread|Wipe with a damp cloth|100% Real Leather Upper|",,"7769401|7516918|7876591",""
"women|shoes|boots|flat-boots","9764785","ASOS DESIGN Atom leather chelsea boots","http://us.asos.com/asos/asos-design-atom-leather-chelsea-boots/prd/9764785?clr=blackleather&SearchQuery=&cid=6455&gridcolumn=4&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK-LEATHER","67.00","asos_9764785_black-leather.jpg","asos/women/shoes/boots/flat-boots/asos_9764785_black-leather.jpg","http://images.asos-media.com/products/asos-design-atom-leather-chelsea-boots/9764785-1-blackleather?$XXL$&wid=513&fit=constrain","Classic design|A wardrobe staple|Elasticated inserts|Back tab|Pointed toe|Low heel|",,"9078379|9897261|8157792","9764790|9765365|9764809|9183590"
"women|shoes|boots|flat-boots","9526008","ASOS DESIGN Arco chunky multi buckle ankle boots","http://us.asos.com/asos/asos-design-arco-chunky-multi-buckle-ankle-boots/prd/9526008?clr=black&SearchQuery=&cid=6455&gridcolumn=1&gridrow=3&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK","56.00","asos_9526008_black.jpg","asos/women/shoes/boots/flat-boots/asos_9526008_black.jpg","http://images.asos-media.com/products/asos-design-arco-chunky-multi-buckle-ankle-boots/9526008-1-black?$XXL$&wid=513&fit=constrain","Multi-buckle detail|Zip-side fastening|Pull tab|Makes getting them on a little easier|Round toe|Chunky sole|",,"9642966|8847996|7516922",""
"women|shoes|boots|flat-boots","9200692","ASOS DESIGN Raider Chunky Lace Up Boots","http://us.asos.com/asos/asos-design-raider-chunky-lace-up-boots/prd/9200692?clr=black&SearchQuery=&cid=6455&gridcolumn=2&gridrow=3&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK","56.00","asos_9200692_black.jpg","asos/women/shoes/boots/flat-boots/asos_9200692_black.jpg","http://images.asos-media.com/products/asos-design-raider-chunky-lace-up-boots/9200692-1-black?$XXL$&wid=513&fit=constrain","You can never have too many|Lace-up fastening|Pull tab|Makes getting them on a little easier|Chunky sole and heel|Cleated tread|",,"9488969|8955971|7516922","9526008|10240111|9352570|9644710"
"women|shoes|boots|flat-boots","9764790","ASOS DESIGN Aura leather chelsea ankle boots","http://us.asos.com/asos/asos-design-aura-leather-chelsea-ankle-boots/prd/9764790?clr=blackleather&SearchQuery=&cid=6455&gridcolumn=2&gridrow=2&gridsize=4&pge=1&pgesize=72&totalstyles=99","ASOS DESIGN","BLACK-LEATHER","60.00","asos_9764790_black-leather.jpg","asos/women/shoes/boots/flat-boots/asos_9764790_black-leather.jpg","http://images.asos-media.com/products/asos-design-aura-leather-chelsea-ankle-boots/9764790-1-blackleather?$XXL$&wid=513&fit=constrain","Classic design|A wardrobe staple|Elasticated inserts|Back tab|Pointed toe|Low heel|",,"9786345|6192527",""
"women|shoes|boots|flat-boots","9644708","Dr Martens 1460 White Leather Flat Ankle Boots","http://us.asos.com/dr-martens/dr-martens-1460-white-leather-flat-ankle-boots/prd/9644708?clr=white&SearchQuery=&cid=6455&gridcolumn=3&gridrow=4&gridsize=4&pge=1&pgesize=72&totalstyles=99","Dr Martens","WHITE","148.00","asos_9644708_white.jpg","asos/women/shoes/boots/flat-boots/asos_9644708_white.jpg","http://images.asos-media.com/products/dr-martens-1460-white-leather-flat-ankle-boots/9644708-1-white?$XXL$&wid=513&fit=constrain","Sweet looks from the ground up|Lace-up fastening|Back tab|Round toe|Cushioned AirWair sole|",,"8250741|8372970","9644720|9644710|10240111|9148635"
"women|shoes|boots|flat-boots","9644710","Dr Martens Combs Black Utility Boots","http://us.asos.com/dr-martens/dr-martens-combs-black-utility-boots/prd/9644710?clr=black&SearchQuery=&cid=6455&gridcolumn=1&gridrow=4&gridsize=4&pge=1&pgesize=72&totalstyles=99","Dr Martens","BLACK","86.00","asos_9644710_black.jpg","asos/women/shoes/boots/flat-boots/asos_9644710_black.jpg","http://images.asos-media.com/products/dr-martens-combs-black-utility-boots/9644710-1-black?$XXL$&wid=513&fit=constrain","Lace-up fastening|Back tab|Round toe|Cushioned AirWair sole|Moulded tread|",,"3980259|7516922","10240111|9352570|9644720|9526008"
