"category","prodId","prodName","prodUrl","brand","color","price","imageName","imageS3Url","imageUrl","description","details","pairWithProducts","similarProducts"
"women|similar accessories","10324825","Oasis clutch bag in metallic silver","http://us.asos.com/prd/10324825?CTAref=We+Recommend+Carousel_3&featureref1=we+recommend+pers","Oasis","SILVER","42.00","asos_10324825_silver.jpg","asos/women/similar-accessories/asos_10324825_silver.jpg","http://images.asos-media.com/products/oasis-clutch-bag-in-metallic-silver/10324825-1-silver?$XXL$&wid=513&fit=constrain","Cos your pockets can only fit so much|Fully lined|Wrist handle|Detachable chain strap|Zip-top closure|External pocket|Interior zip pocket|",,,
"women|similar accessories","9131332","Pieces Metallic Cross Body Bag","http://us.asos.com/prd/9131332?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","PIECES","DARK-GRAY","35.00","asos_9131332_dark-gray.jpg","asos/women/similar-accessories/asos_9131332_dark-gray.jpg","http://images.asos-media.com/products/pieces-metallic-cross-body-bag/9131332-1-darkgrey?$XXL$&wid=513&fit=constrain","Silver-tone finish|It's high-shine season|Front-flap closure|Slim body strap|Twin interior compartments|",,,
"women|similar accessories","8722493","ASOS Suede Mini Minimal Duffle Bag","http://us.asos.com/prd/8722493?CTAref=We+Recommend+Carousel_4&featureref1=we+recommend+pers","ASOS Collection","BLACK","32.00","asos_8722493_black.jpg","asos/women/similar-accessories/asos_8722493_black.jpg","http://images.asos-media.com/products/asos-suede-mini-minimal-duffle-bag/8722493-1-black?$XXL$&wid=513&fit=constrain","Suede outer|Fully lined|Adjustable shoulder strap|Drawstring closure|Interior slip pocket|",,,
"women|similar accessories","10163562","River Island Box Crossbody Bag","http://us.asos.com/prd/10163562?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","River Island","YELLOW-BRIGHT","40.00","asos_10163562_yellow-bright.jpg","asos/women/similar-accessories/asos_10163562_yellow-bright.jpg","http://images.asos-media.com/products/river-island-box-crossbody-bag/10163562-1-yellowbright?$XXL$&wid=513&fit=constrain","You had me at yellow|Boxy style|Single body strap|Zip closure|Tassel detail|",,,
"women|similar accessories","8931720","Skinnydip Glitter Camera Cross Body Bag","http://us.asos.com/prd/8931720?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","Skinnydip","MULTI","22.50","asos_8931720_multi.jpg","asos/women/similar-accessories/asos_8931720_multi.jpg","http://images.asos-media.com/products/skinnydip-glitter-camera-cross-body-bag/8931720-1-multi?$XXL$&wid=513&fit=constrain","Faux-leather outer|Glitter finish|Fully lined|Detachable body strap|Zip-top fastening|",,,
"women|similar accessories","10014321","ASOS DESIGN mini double compartment satchel cross body bag","http://us.asos.com/prd/10014321?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","ASOS DESIGN","BLACK","35.00","asos_10014321_black.jpg","asos/women/similar-accessories/asos_10014321_black.jpg","http://images.asos-media.com/products/asos-design-mini-double-compartment-satchel-cross-body-bag/10014321-1-black?$XXL$&wid=513&fit=constrain","Fully lined|Cross-body strap|Satchel style|Buckle detail|Zip-top closure|",,,
"women|similar accessories","9525052","Street Level Black Ring Detail Cross Body Bag","http://us.asos.com/prd/9525052?CTAref=We+Recommend+Carousel_3&featureref1=we+recommend+pers","Street Level","BLACK","45.00","asos_9525052_black.jpg","asos/women/similar-accessories/asos_9525052_black.jpg","http://images.asos-media.com/products/street-level-black-ring-detail-cross-body-bag/9525052-1-black?$XXL$&wid=513&fit=constrain","Bag it up|Twin ring handles|Magnetic fastening|Tassel detail|",,,
"women|similar accessories","9808374","ASOS DESIGN stud side mini bucket cross body bag","http://us.asos.com/prd/9808374?CTAref=We+Recommend+Carousel_4&featureref1=we+recommend+pers","ASOS DESIGN","BLUE","32.00","asos_9808374_blue.jpg","asos/women/similar-accessories/asos_9808374_blue.jpg","http://images.asos-media.com/products/asos-design-stud-side-mini-bucket-cross-body-bag/9808374-1-blue?$XXL$&wid=513&fit=constrain","Bag it up|Silver-tone stud embellishment|It's all in the details|Silver-tone chain body strap|Magnetic-top fastening|",,,
"women|similar accessories","9385053","Faith Round Croc Effect X Body Bag","http://us.asos.com/prd/9385053?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","Faith","BLACK","56.00","asos_9385053_black.jpg","asos/women/similar-accessories/asos_9385053_black.jpg","http://images.asos-media.com/products/faith-round-croc-effect-x-body-bag/9385053-1-black?$XXL$&wid=513&fit=constrain","For those must-carry essentials|Faux-croc texture finish|Fully lined|Shoulder strap|Zip fastening|Interior slip pocket|",,,
"women|similar accessories","9915772","ASOS DESIGN slip pocket satchel","http://us.asos.com/prd/9915772?CTAref=We+Recommend+Carousel_3&featureref1=we+recommend+pers","ASOS DESIGN","FOREST","45.00","asos_9915772_forest.jpg","asos/women/similar-accessories/asos_9915772_forest.jpg","http://images.asos-media.com/products/asos-design-slip-pocket-satchel/9915772-1-forest?$XXL$&wid=513&fit=constrain","Your outfit's plus-one|Satchel style|Grab handle|Detachable strap|Secure closure|Interior zip pocket|",,,
