"category","prodId","prodName","prodUrl","brand","color","price","imageName","imageS3Url","imageUrl","description","details","pairWithProducts","similarProducts"
"women|similar clothing","9580047","New Look Textured Ponte Blazer","http://us.asos.com/prd/9580047?CTAref=We+Recommend+Carousel_4&featureref1=we+recommend+pers","New Look","WHITE","40.00","asos_9580047_white.jpg","asos/women/similar-clothing/asos_9580047_white.jpg","http://images.asos-media.com/products/new-look-textured-ponte-blazer/9580047-1-white?$XXL$&wid=513&fit=constrain","Best paired with clear liquids|Padded shoulders|Notch lapel|Open front|Functional pockets|Regular cut|Fits you just right|",,,
"women|similar clothing","8952759","ASOS Soft Blazer in Green Stripe","http://us.asos.com/prd/8952759?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","ASOS Collection","STRIPE","43.00","asos_8952759_stripe.jpg","asos/women/similar-clothing/asos_8952759_stripe.jpg","http://images.asos-media.com/products/asos-soft-blazer-in-green-stripe/8952759-1-stripe?$XXL$&wid=513&fit=constrain","Suitable for work and play|Striped design|Somewhere between plain and printed|Padded shoulders|Notch lapel|Open front|Regular fit|A standard cut for a classic shape|",,,
"women|similar clothing","9177379","PrettyLittleThing Striped Blazer Two-Piece","http://us.asos.com/prd/9177379?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","PrettyLittleThing","WHITE","40.00","asos_9177379_white.jpg","asos/women/similar-clothing/asos_9177379_white.jpg","http://images.asos-media.com/products/prettylittlething-striped-blazer-two-piece/9177379-1-white?$XXL$&wid=513&fit=constrain","Co-ord style|It’s got a BFF|Striped design|Another staple to line your wardrobe|Shawl lapel|Self-tie belt|Regular cut|Fits you just right|",,,
"women|similar clothing","9652773","Boohoo Cropped Denim Jacket","http://us.asos.com/prd/9652773?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","boohoo","BLACK","44.00","asos_9652773_black.jpg","asos/women/similar-clothing/asos_9652773_black.jpg","http://images.asos-media.com/products/boohoo-cropped-denim-jacket/9652773-1-black?$XXL$&wid=513&fit=constrain","Perfect for unpredictable weather conditions|Y’know, freezing in the morning, sweating by lunchtime|Lightweight denim|Classic point collar|Button placket|Functional pockets|Slim fit - cut close to the body|",,,
"women|similar clothing","9652773","Boohoo Cropped Denim Jacket","http://us.asos.com/prd/9652773?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","boohoo","BLACK","44.00","asos_9652773_black.jpg","asos/women/similar-clothing/asos_9652773_black.jpg","http://images.asos-media.com/products/boohoo-cropped-denim-jacket/9652773-1-black?$XXL$&wid=513&fit=constrain","Perfect for unpredictable weather conditions|Y’know, freezing in the morning, sweating by lunchtime|Lightweight denim|Classic point collar|Button placket|Functional pockets|Slim fit - cut close to the body|",,,
"women|similar clothing","9120290","Noisy May denim jacket","http://us.asos.com/prd/9120290?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","Noisy May","BLACK","42.00","asos_9120290_black.jpg","asos/women/similar-clothing/asos_9120290_black.jpg","http://images.asos-media.com/products/noisy-may-denim-jacket/9120290-1-black?$XXL$&wid=513&fit=constrain","Black wash|Spread collar|Button placket|Chest pockets|Regular cut|Fits you just right|",,,
"women|similar clothing","10338007","Pull&bear ecru wash denim jacket longline","http://us.asos.com/prd/10338007?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","Pull&Bear","ECRU","50.00","asos_10338007_ecru.jpg","asos/women/similar-clothing/asos_10338007_ecru.jpg","http://images.asos-media.com/products/pullbear-ecru-wash-denim-jacket-longline/10338007-1-ecru?$XXL$&wid=513&fit=constrain","Best paired with clear liquids|Spread collar|Button placket|Dropped shoulders|For laid-back vibes|Functional pockets|Longline style|Relaxed fit|Think baggy and casual|",,,
"women|similar clothing","9784338","D-Antidote x Fila Track Jacket With Taping","http://us.asos.com/prd/9784338?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","D-ANTIDOTE","BLACK","221.00","asos_9784338_black.jpg","asos/women/similar-clothing/asos_9784338_black.jpg","http://images.asos-media.com/products/d-antidote-x-fila-track-jacket-with-taping/9784338-1-black?$XXL$&wid=513&fit=constrain","Designed in collaboration with Fila|We love a power couple|Funnel neck|Zip fastening|Color-block design|Side pockets|Taping detail|Ribbed trims|Oversized fit|More room for activities|",,,
"women|similar clothing","9770215","Nobody's Child Cold Shoulder Maxi Dress In Ditsy Floral","http://us.asos.com/prd/9770215?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","Nobody's Child","WHITE-FLORAL","51.00","asos_9770215_white-floral.jpg","asos/women/similar-clothing/asos_9770215_white-floral.jpg","http://images.asos-media.com/products/nobodys-child-cold-shoulder-maxi-dress-in-ditsy-floral/9770215-1-whitefloral?$XXL$&wid=513&fit=constrain","Floral print|Break out the blooms|V-neck|Cold-shoulder cut|Nothing to shrug at|Side-split to thigh|Zip fastening|Regular cut - fits you just right|",,,
"women|similar clothing","9617809","Frock And Frill Premium Embellished Maxi Dress","http://us.asos.com/prd/9617809?CTAref=We+Recommend+Carousel_4&featureref1=we+recommend+pers","Frock and Frill","HOT-PINK","293.00","asos_9617809_hot-pink.jpg","asos/women/similar-clothing/asos_9617809_hot-pink.jpg","http://images.asos-media.com/products/frock-and-frill-premium-embellished-maxi-dress/9617809-1-hotpink?$XXL$&wid=513&fit=constrain","Be the best-dressed guest|Round neck|Sleeveless style|Beaded embellishment|More is definitely more|Zip-back fastening|Regular fit - true to size|",,,
"women|similar clothing","9824415","Cleobella Lace Midi Dress with Floral Embroidery","http://us.asos.com/prd/9824415?CTAref=We+Recommend+Carousel_3&featureref1=we+recommend+pers","Cleobella","MULTI","285.00","asos_9824415_multi.jpg","asos/women/similar-clothing/asos_9824415_multi.jpg","http://images.asos-media.com/products/cleobella-lace-midi-dress-with-floral-embroidery/9824415-1-multi?$XXL$&wid=513&fit=constrain","Detachable cami lining|Silky-feel finish|Plunge neck|Embroidered design|It's all in the details|Regular cut|Fits you just right|",,,
"women|similar clothing","10090925","Mango button detail midi dress linen in red","http://us.asos.com/prd/10090925?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","Mango","RED","100.00","asos_10090925_red.jpg","asos/women/similar-clothing/asos_10090925_red.jpg","http://images.asos-media.com/products/mango-button-detail-midi-dress-linen-in-red/10090925-1-red?$XXL$&wid=513&fit=constrain","This is a bit of you|V-neck|Striped design|It's a classic|Button details|Regular cut|Fits you just right|",,,
"women|similar clothing","9926346","Mango button through overall dress in white","http://us.asos.com/prd/9926346?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","Mango","WHITE","44.00","asos_9926346_white.jpg","asos/women/similar-clothing/asos_9926346_white.jpg","http://images.asos-media.com/products/mango-button-through-overall-dress-in-white/9926346-1-white?$XXL$&wid=513&fit=constrain","Not just for toddlers|Why should kids have all the fun?|Classic pinafore design|Adjustable buckle straps|Functional pockets|Regular cut|Fits you just right|",,,
"women|similar clothing","9904465","ASOS DESIGN ultimate cotton smock dress","http://us.asos.com/prd/9904465?CTAref=We+Recommend+Carousel_2&featureref1=we+recommend+pers","ASOS DESIGN","GRAY-MARL","24.00","asos_9904465_gray-marl.jpg","asos/women/similar-clothing/asos_9904465_gray-marl.jpg","http://images.asos-media.com/products/asos-design-ultimate-cotton-smock-dress/9904465-1-greymarl?$XXL$&wid=513&fit=constrain","Plain design|A wardrobe staple|V-neck|High-rise waist|Smock cut|Loose fit - falls loosely over the body|",,,
"women|similar clothing","9270955","Flounce London Sequin Mini Dress with Shoulder Pads","http://us.asos.com/prd/9270955?CTAref=We+Recommend+Carousel_3&featureref1=we+recommend+pers","Flounce London","GOLD","67.00","asos_9270955_gold.jpg","asos/women/similar-clothing/asos_9270955_gold.jpg","http://images.asos-media.com/products/flounce-london-sequin-mini-dress-with-shoulder-pads/9270955-1-gold?$XXL$&wid=513&fit=constrain","Metallic sequin embellishment|More is definitely more|Crew neck|Wrap skirt|Regular cut|Fits you just right|Exclusive to ASOS|You heard it here first|",,,
"women|similar clothing","9230947","ASOS DESIGN Midi Plunge Embellished Kimono Dress","http://us.asos.com/prd/9230947?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","ASOS DESIGN","NUDE","103.00","asos_9230947_nude.jpg","asos/women/similar-clothing/asos_9230947_nude.jpg","http://images.asos-media.com/products/asos-design-midi-plunge-embellished-kimono-dress/9230947-1-nude?$XXL$&wid=513&fit=constrain","Take this cutie out-out|Cami lining|Sequin embellishments|More is definitely more|Plunge neck|Twist front|Midi length|Regular cut|Fits you just right|",,,
"women|similar clothing","8969082","Chi Chi London lace high neck mini dress in black","http://us.asos.com/prd/8969082?CTAref=We+Recommend+Carousel_4&featureref1=we+recommend+pers","Chi Chi London","BLACK","113.00","asos_8969082_black.jpg","asos/women/similar-clothing/asos_8969082_black.jpg","http://images.asos-media.com/products/chi-chi-london-lace-high-neck-mini-dress-in-black/8969082-1-black?$XXL$&wid=513&fit=constrain","Lined lace|High neck|Ladder-stitch detail|Short sleeves|Zip-back fastening|Slim fit - cut close to the body|",,,
"women|similar clothing","8869719","TFNC Long Sleeve Midi Bridesmaid Dress With Pleated Skirt","http://us.asos.com/prd/8869719?CTAref=We+Recommend+Carousel_4&featureref1=we+recommend+pers","TFNC","MINK","33.00","asos_8869719_mink.jpg","asos/women/similar-clothing/asos_8869719_mink.jpg","http://images.asos-media.com/products/tfnc-long-sleeve-midi-bridesmaid-dress-with-pleated-skirt/8869719-1-mink?$XXL$&wid=513&fit=constrain","V-neck|Long sleeves|Pleat detail|Cos ironing is overrated|Zip-back fastening|Regular fit - true to size|",,,
"women|similar clothing","8681346","ASOS Asymmetric Clean Shift Mini Dress","http://us.asos.com/prd/8681346?CTAref=We+Recommend+Carousel_1&featureref1=we+recommend+pers","ASOS Collection","NAVY","45.00","asos_8681346_navy.jpg","asos/women/similar-clothing/asos_8681346_navy.jpg","http://images.asos-media.com/products/asos-asymmetric-clean-shift-mini-dress/8681346-1-navy?$XXL$&wid=513&fit=constrain","Crew neck|Long sleeves|Cross-over skirt|Keep it under wraps|Regular fit - true to size|Mini dress length between: 86-90cm|",,,
"women|similar clothing","9875240","ASOS DESIGN lace up tie side mini sundress in watermelon print","http://us.asos.com/prd/9875240?CTAref=We+Recommend+Carousel_3&featureref1=we+recommend+pers","ASOS DESIGN","MULTI","18.00","asos_9875240_multi.jpg","asos/women/similar-clothing/asos_9875240_multi.jpg","http://images.asos-media.com/products/asos-design-lace-up-tie-side-mini-sundress-in-watermelon-print/9875240-1-multi?$XXL$&wid=513&fit=constrain","Watermelon print|Cute, right?|Square neck|Adjustable straps|Lace-up sides|Zip-back fastening|Regular cut|Fits you just right|",,,
"women|similar clothing","10356968","Boohoo T-Shirt Dress","http://us.asos.com/prd/10356968?CTAref=We+Recommend+Carousel_3&featureref1=we+recommend+pers","boohoo","SMOKE","28.00","asos_10356968_smoke.jpg","asos/women/similar-clothing/asos_10356968_smoke.jpg","http://images.asos-media.com/products/boohoo-t-shirt-dress/10356968-1-smoke?$XXL$&wid=513&fit=constrain","One for your wardrobe|Crew neck|Plain design|When less is more|Regular fit - true to size|",,,
"women|similar clothing","10466957","Coast Savannah Soft Halter Midi Dress","http://us.asos.com/prd/10466957?CTAref=We+Recommend+Carousel_4&featureref1=we+recommend+pers","Coast","FOREST","157.00","asos_10466957_forest.jpg","asos/women/similar-clothing/asos_10466957_forest.jpg","http://images.asos-media.com/products/coast-savannah-soft-halter-midi-dress/10466957-1-forest?$XXL$&wid=513&fit=constrain","For that thing you have to go to|Fully lined|High neck|Tie waist|Zip-back fastening|Regular fit|A standard cut for a classic shape|",,,
